account,date,compound,positive,negative,neutral,text
@BBC,Wed Jun 06 18:07:32 +0000 2018,0.7035,0.245,0.0,0.755,@BBC And that's more important than news that is impartial. Wondered why the money you command is used so effectively.
@BBC,Wed Jun 06 18:07:29 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:07:19 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:07:04 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:06:50 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:06:34 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:06:30 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:06:26 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:06:25 +0000 2018,0.0,0.0,0.0,1.0,"https://t.co/SXzK1H4MH9

@DerSPIEGEL @BILD @guardian @bbc @lesoir 
When Spanish minister, Ciudadanos and PP said in… https://t.co/RarHrvNz22"
@BBC,Wed Jun 06 18:06:07 +0000 2018,0.0,0.0,0.0,1.0,"RT @ALivingstone45: For years, Arundhati Roy has been the Left's prime mouthpiece in the West for maligning the image of Hindus and India a…"
@BBC,Wed Jun 06 18:06:04 +0000 2018,0.0,0.0,0.0,1.0,En nóg een mooie miniserie met goede cast bij @BBC  “Ordeal by innocence” ❤️Agatha Christie https://t.co/XNOjDzyQij
@BBC,Wed Jun 06 18:05:54 +0000 2018,0.0,0.0,0.0,1.0,@alison98899 @thismorning @BBC @DailyMailUK @russellcrowe Today xx
@BBC,Wed Jun 06 18:05:50 +0000 2018,-0.2732,0.054,0.108,0.837,"RT @jaybird2414: @narendramodi It's dosent matter BJP or Congress
Law , police , judiciary is all #GenderBiasedLaws towards women..

Y no c…"
@BBC,Wed Jun 06 18:05:29 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 18:05:06 +0000 2018,0.0,0.0,0.0,1.0,@BBC https://t.co/l2f4jJOpsB
@BBC,Wed Jun 06 18:04:44 +0000 2018,0.1779,0.144,0.109,0.746,RT @BBC: No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M
@BBC,Wed Jun 06 18:04:33 +0000 2018,-0.0772,0.0,0.091,0.909,"RT @Misandry_Kills: #ChildTrafficking racket exposed in #WestBengal (wid Two Mastermind #AblaNari)

#JuhiChoudhury

#ChandanaChakraborty

@…"
@BBC,Wed Jun 06 18:04:31 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:04:25 +0000 2018,-0.7684,0.0,0.31,0.69,"RT @jonandrew10: Ermmm.... @BBCNews @BBC , why did you repost this ridiculously insensitive and offensive tweet in your lead article about…"
@BBC,Wed Jun 06 18:04:15 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 18:04:06 +0000 2018,0.0,0.0,0.0,1.0,"RT @Film_London: In a joint collaboration with @WFTV_UK, @BBC, @Channel4 and @ITV have come together to fund a bursary in memory of Pat Lle…"
@BBC,Wed Jun 06 18:04:00 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:03:49 +0000 2018,-0.5719,0.0,0.198,0.802,"#DisgustingBBC reported about the #Israel-#Argentina match cancellation, but not a word about the threats against t… https://t.co/qWjmSVBRMY"
@BBC,Wed Jun 06 18:03:25 +0000 2018,0.0,0.0,0.0,1.0,RT @Arvind_C: @Misandry_Kills @narendramodi @nitin_gadkari @Manekagandhibjp @MinistryWCD @DailyMailUK @SkyNewsAust @USATODAY @vaastavngo @t…
@BBC,Wed Jun 06 18:03:20 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 18:03:09 +0000 2018,0.8126,0.375,0.0,0.625,"@aroybot after speaking this, still you are sleeping peacefully and feeling at peace speaks a lot about… https://t.co/1DcQ9A4HjG"
@BBC,Wed Jun 06 18:03:07 +0000 2018,0.1779,0.144,0.109,0.746,RT @BBC: No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M
@BBC,Wed Jun 06 18:02:23 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:02:18 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:02:17 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:02:16 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:02:15 +0000 2018,0.0,0.0,0.0,1.0,@denilson_kings @shacslaw @KingAbsolute_ @CNN @CNNAfrica @cnnbrk @BBC @BBCWorld @BBCBreaking @FoxNews… https://t.co/4BXycSiTcl
@BBC,Wed Jun 06 18:01:59 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:01:57 +0000 2018,0.0772,0.064,0.0,0.936,"@DavidBflower What we want are windowless planes feeding @BBC's world cup, esp virtual reality where we can click o… https://t.co/5k6l0FIOUK"
@BBC,Wed Jun 06 18:01:30 +0000 2018,0.0,0.0,0.0,1.0,RT @4Misused: #Time2Change @narendramodi @Manekagandhibjp @__mynf @NThadur @498anlr @mehratweets @ShadesOfKnife @Gameof498A @INCIndia @AamA…
@BBC,Wed Jun 06 18:01:30 +0000 2018,0.0,0.0,0.0,1.0,"Do you have a budding dancer in the family? 

The @BBC are looking for young dancers to take part in their competit… https://t.co/syS5odj0bQ"
@BBC,Wed Jun 06 18:01:11 +0000 2018,0.8796,0.326,0.0,0.674,What is the best food to eat before an exam?  What food will help me to concentrate? What should I eat for a good n… https://t.co/PSODiB0DR7
@BBC,Wed Jun 06 18:01:04 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:01:04 +0000 2018,0.4019,0.105,0.0,0.895,RT @bhamlaw: Are you interested in undertaking an AHRC (@ahrcpress) funded PhD on the use of #AI in the media industry? @unibirmingham in p…
@BBC,Wed Jun 06 18:01:01 +0000 2018,0.0,0.185,0.148,0.667,"RT @TomLondon6: If a newspaper editor supported a clearly racist election campaign, you would think @BBC would not give them a job let alon…"
@BBC,Wed Jun 06 18:00:44 +0000 2018,0.7506,0.416,0.0,0.584,RT @HelloJoburgMag: Our beautiful city &lt;3 Photo courtesy of @BBC https://t.co/7L7VEk84yu
@BBC,Wed Jun 06 18:00:44 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:00:32 +0000 2018,0.0,0.0,0.0,1.0,"Jordan Peterson slams NBC
https://t.co/Sfw48cSLCl
@BBC @BBCWorld @BBCBreaking @AboutTheBBC @BBCSport @BBCNews @BBCR1 @bbclaurak @FOXTV"
@BBC,Wed Jun 06 18:00:27 +0000 2018,-0.6249,0.0,0.204,0.796,RT @judithnwana: The Anglophone Cameroon crisis: June 2018 update: UK House of Commons Library research/briefing: @UKparliament @StateDept…
@BBC,Wed Jun 06 18:00:17 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:00:09 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:00:07 +0000 2018,-0.6449,0.0,0.299,0.701,"@DerSPIEGEL @BILD @lesoir @BBC @guardian 

Terrible news! Spain is freefalling!!! https://t.co/ncSAyINbTa"
@BBC,Wed Jun 06 17:59:25 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: 74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4"
@BBC,Wed Jun 06 17:59:13 +0000 2018,-0.3981,0.069,0.139,0.792,RT @KatochPrakash: @Sanjeev40330782 @BBC Sure but the wily Brits are behind it because nothing can be aired without foreign office approval.
@BBC,Wed Jun 06 17:59:11 +0000 2018,-0.3612,0.053,0.174,0.773,"@GlynnHJ @OldDopePeddler @craighannaway @WilliamPMack @BBC Glynn, no matter how hard you paddle, denial is still not a river in Egypt."
@BBC,Wed Jun 06 17:59:07 +0000 2018,0.8271,0.49,0.0,0.51,@Russellcrowuk @thismorning @BBC @DailyMailUK @russellcrowe Happy birthday gorgeous Russell xxx
@BBC,Wed Jun 06 17:58:54 +0000 2018,0.0,0.185,0.148,0.667,"RT @TomLondon6: If a newspaper editor supported a clearly racist election campaign, you would think @BBC would not give them a job let alon…"
@BBC,Wed Jun 06 17:58:45 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:58:27 +0000 2018,-0.4767,0.0,0.124,0.876,RT @bryanmjohnson: Sad to see @BBC Maida Vale Studios closing. 🙁 Studio 4 is one of my favourite studios to record in. Recorded a John Peel…
@BBC,Wed Jun 06 17:58:17 +0000 2018,0.0,0.185,0.148,0.667,"RT @TomLondon6: If a newspaper editor supported a clearly racist election campaign, you would think @BBC would not give them a job let alon…"
@BBC,Wed Jun 06 17:58:15 +0000 2018,-0.2023,0.08,0.122,0.798,RT @judithnwana: #Cameroon Muyuka Legal Department burnt down. World's idly silently watching #SouthernCameroons conflict unfold into #Rwan…
@BBC,Wed Jun 06 17:58:10 +0000 2018,0.0,0.121,0.121,0.759,RT @Bubblejet: Campaign Against #Antisemitism's surveys show there's a much smaller problem in #Labour than the #Tory Party AND #LabourAnti…
@BBC,Wed Jun 06 17:57:51 +0000 2018,0.0,0.0,0.0,1.0,"@lancastrian14 @sphenefan @WilliamPMack @BBC @BBCNews @daily_politics @BBCPolitics @bbclaurak @jeremycorbyn Lanc, y… https://t.co/FnMmj3g0yi"
@BBC,Wed Jun 06 17:57:48 +0000 2018,0.5315,0.326,0.164,0.51,"Dear @BBC, don't pretend like you didn't miss the #GDPR deadline by using a future tense. As a trustworthy news sou… https://t.co/R26MKVl8If"
@BBC,Wed Jun 06 17:57:46 +0000 2018,0.0,0.0,0.0,1.0,@BBC6Music @BBC 💞 https://t.co/iLnJ2Hiqh0
@BBC,Wed Jun 06 17:57:15 +0000 2018,-0.4404,0.0,0.266,0.734,Charles Horton is a bloody clown 😂🤡 @BBC @GNRailUK https://t.co/z90GbU5PoJ
@BBC,Wed Jun 06 17:57:01 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:56:56 +0000 2018,0.2732,0.11,0.0,0.89,RT @Nang07773569: Today marks 26 years since #Cameroon gov't committed #Crimesagainsthumanity in the #SouthernCameroons town of Ndu. People…
@BBC,Wed Jun 06 17:56:55 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 17:56:37 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 17:56:08 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:55:27 +0000 2018,0.0,0.185,0.148,0.667,"RT @TomLondon6: If a newspaper editor supported a clearly racist election campaign, you would think @BBC would not give them a job let alon…"
@BBC,Wed Jun 06 17:55:08 +0000 2018,0.0,0.0,0.0,1.0,"RT @MddMacron: #DébarquementNormandie
6 juin 1944 @BBC #BBC 
«Les sanglots longs des violons de l'automne » un vers de Verlaine qui sonne l…"
@BBC,Wed Jun 06 17:54:51 +0000 2018,0.0,0.0,0.0,1.0,RT @DealingWithEvil: @drgopijvs @BJP4India @PMOIndia @HMOIndia @UNHumanRights @AskAnshul @narendramodi @Monkfights @TheHaryanavi @patrika W…
@BBC,Wed Jun 06 17:54:45 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:54:43 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:54:35 +0000 2018,-0.4767,0.0,0.279,0.721,". Shame on @MyNameArundhati
Expected of @BBC #FakeNewsMedia #1 https://t.co/kBw6Wp8qhg"
@BBC,Wed Jun 06 17:54:34 +0000 2018,0.0,0.0,0.0,1.0,RT @4Misused: #Time2Change @narendramodi @Manekagandhibjp @__mynf @NThadur @498anlr @mehratweets @ShadesOfKnife @Gameof498A @INCIndia @AamA…
@BBC,Wed Jun 06 17:54:26 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:54:10 +0000 2018,0.6662,0.182,0.0,0.818,"RT @BBCSchoolReport: On half-term with loads of great story ideas? Got suggestions for potential reports of future @BBC features? 

We want…"
@BBC,Wed Jun 06 17:54:07 +0000 2018,0.2732,0.162,0.115,0.723,"RT @BBC: When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x"
@BBC,Wed Jun 06 17:53:58 +0000 2018,0.0,0.0,0.0,1.0,RT @bobbyhope123: @SimonGosden @TheWickedChild @nickmon1112 @RebeccaOram1 @vivienmiss @Aitchweb @danyulgardner @Lin46222208 @ElContador2000…
@BBC,Wed Jun 06 17:53:51 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 17:53:42 +0000 2018,0.0,0.185,0.148,0.667,"RT @TomLondon6: If a newspaper editor supported a clearly racist election campaign, you would think @BBC would not give them a job let alon…"
@BBC,Wed Jun 06 17:53:39 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:53:31 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:53:25 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:53:09 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 17:53:04 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:52:58 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 17:52:38 +0000 2018,-0.7003,0.0,0.242,0.758,@bbcworldservice Not raping people is not a “cultural code”. This is Olympic-level bollocks even by @BBC standards.
@BBC,Wed Jun 06 17:52:32 +0000 2018,0.0,0.0,0.0,1.0,RT @SriRudyBABA: #CrimeByAblaNari @Manekagandhibjp @NThadur @mynationfra @beta_bachao @498anlr @Keyadas63 @mehratweets @mishthi4u @Milkyway…
@BBC,Wed Jun 06 17:52:27 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 17:52:26 +0000 2018,-0.4019,0.0,0.124,0.876,"RT @BBC: 'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/…"
@BBC,Wed Jun 06 17:52:17 +0000 2018,-0.5994,0.0,0.151,0.849,"@BBC That’s disgust me, it should discuss you,  why they can not recycle this? Or why they can’t use this as a ener… https://t.co/9PuKk12xPh"
@BBC,Wed Jun 06 17:52:14 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 17:52:14 +0000 2018,0.0,0.0,0.0,1.0,@SimonGosden @TheWickedChild @nickmon1112 @RebeccaOram1 @vivienmiss @Aitchweb @danyulgardner @Lin46222208… https://t.co/TgB2drqOq9
@BBC,Wed Jun 06 17:51:17 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 17:51:15 +0000 2018,0.4019,0.105,0.0,0.895,RT @bhamlaw: Are you interested in undertaking an AHRC (@ahrcpress) funded PhD on the use of #AI in the media industry? @unibirmingham in p…
@BBC,Wed Jun 06 17:51:07 +0000 2018,0.0,0.0,0.0,1.0,@CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @sanchezcastejon… https://t.co/Q49oo0olvG
@BBC,Wed Jun 06 17:51:03 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 17:50:54 +0000 2018,0.7022,0.237,0.0,0.763,RT @WinstonsBack: 1/ So people do we have a plan on 23rd June to ensure the @BBC cannot ignore the #PeoplesVoteMarch? They will ignore it i…
@BBC,Wed Jun 06 17:50:12 +0000 2018,0.836,0.452,0.0,0.548,"RT @paulkelly70041: @DailyMailUK @MailOnline friends @BBC followers , please read sign share endorse follow circulate RT https://t.co/JpGY3…"
@BBC,Wed Jun 06 17:49:41 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 17:48:21 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@CBS,Wed Jun 06 18:07:43 +0000 2018,0.7783,0.264,0.0,0.736,"RT @DouglasHespelt: @pattysartwork @catharinemcphe5 @CBS I haven't heard the Norwegian song you mean, but I'm sure if you say it's good, it…"
@CBS,Wed Jun 06 18:07:40 +0000 2018,0.0,0.0,0.0,1.0,RT @jenns018: @DanaScorpion @DouglasHespelt @pasbonca @jenjen68025 @CBSTVStudios @festivaltvmc @EurodataTV @MacGyverCBS @ScorpionCBS @NCIS_…
@CBS,Wed Jun 06 18:07:39 +0000 2018,0.0,0.0,0.0,1.0,@Netflix @hulu @FreeformTV @CBS @NBC @ABCNetwork @Syfy @Foxtv #SaveShadowhunters
@CBS,Wed Jun 06 18:07:34 +0000 2018,0.6369,0.259,0.0,0.741,"I love you Malec. #SaveShadowhunters #PickUpShadowhunters @netflix @hulu @foxtv @abcnetwork @cbs @mtv 

@FreeformTV… https://t.co/VSbiqCHbks"
@CBS,Wed Jun 06 18:07:34 +0000 2018,0.6369,0.259,0.0,0.741,"I love you Malec. #SaveShadowhunters #PickUpShadowhunters @netflix @hulu @foxtv @abcnetwork @cbs @mtv 

@FreeformTV… https://t.co/QbskDbHp5Q"
@CBS,Wed Jun 06 18:07:28 +0000 2018,0.3091,0.121,0.07,0.808,RT @pjstevens0101: @pattysartwork @CBS @ScorpionCBS My favorite genius is Walter. He was written so serious in the first 2 seasons and so i…
@CBS,Wed Jun 06 18:07:23 +0000 2018,0.9147,0.409,0.0,0.591,RT @Sabrina_Fogel: PLEASE PICK UP Shadowhunters !!! AMAZING GROUNDBREAKING SHOW WITH A HUGE FANBASE! WE HAVE TRENDED AS # 1 ON TWITTER WITH…
@CBS,Wed Jun 06 18:07:15 +0000 2018,-0.7003,0.0,0.279,0.721,@OurRevolution “Income inequality has grown at an alarming rate with devastating effects...”we must make it easier… https://t.co/PIW04NiIGm
@CBS,Wed Jun 06 18:07:12 +0000 2018,0.0,0.0,0.0,1.0,@SenateDems @SenateGOP @SenSchumer @abc @cbs @nbc @fox Hey chuckie this is happening on your watch. Still waiting t… https://t.co/rzWYHYSXvQ
@CBS,Wed Jun 06 18:07:04 +0000 2018,0.0,0.0,0.0,1.0,RT @realBethNeale: @realDonaldTrump @seanhannity HEY! @espn @ABC @CBS @NBCNews @CNN @MSNBC @TheView @nytimes @NYDailyNews @Eagles @Philadel…
@CBS,Wed Jun 06 18:06:53 +0000 2018,0.7351,0.267,0.0,0.733,"RT @TheTonyAwards: Special Tony Award recipient, @springsteen will make a rare television appearance as he performs at the 2018 #TonyAwards…"
@CBS,Wed Jun 06 18:06:47 +0000 2018,0.4404,0.209,0.0,0.791,They deserve better. #SaveShadowhunters #PickUpShadowhunters @netflix @hulu @foxtv @abcnetwork @cbs @mtv… https://t.co/R67cdzu87a
@CBS,Wed Jun 06 18:06:47 +0000 2018,0.4404,0.209,0.0,0.791,They deserve better. #SaveShadowhunters #PickUpShadowhunters @netflix @hulu @foxtv @abcnetwork @cbs @mtv… https://t.co/jyuGxKbNTA
@CBS,Wed Jun 06 18:06:28 +0000 2018,0.0,0.0,0.0,1.0,@TLuke06 @CNN @nbc @CBS @MSNBC @FoxNews @SpeakerRyan @SenateMajLdr @SenFeinstein @NancyPelosi @SenSchumer… https://t.co/H80VaQiILI
@CBS,Wed Jun 06 18:05:46 +0000 2018,-0.5574,0.068,0.212,0.72,"@CBS I was excited to watch Scorpion but u cancelled it, so..thanks for that. You guys have no concept of what view… https://t.co/kUZ8HPfILl"
@CBS,Wed Jun 06 18:05:33 +0000 2018,0.9147,0.409,0.0,0.591,RT @Sabrina_Fogel: PLEASE PICK UP Shadowhunters !!! AMAZING GROUNDBREAKING SHOW WITH A HUGE FANBASE! WE HAVE TRENDED AS # 1 ON TWITTER WITH…
@CBS,Wed Jun 06 18:05:21 +0000 2018,0.0,0.0,0.0,1.0,@TheTonyAwards @springsteen @CBS @derekmclane @Paulhaider74 👀🎶
@CBS,Wed Jun 06 18:05:15 +0000 2018,0.9147,0.409,0.0,0.591,RT @Sabrina_Fogel: PLEASE PICK UP Shadowhunters !!! AMAZING GROUNDBREAKING SHOW WITH A HUGE FANBASE! WE HAVE TRENDED AS # 1 ON TWITTER WITH…
@CBS,Wed Jun 06 18:05:14 +0000 2018,0.0,0.0,0.0,1.0,@CNN @NBC @CBS @MSNBC @FoxNews @SpeakerRyan @SenateMajLdr  @SenFeinstein @NancyPelosi @SenSchumer  @ChuckGrassley w… https://t.co/T0jNiEW5d4
@CBS,Wed Jun 06 18:05:08 +0000 2018,0.9147,0.409,0.0,0.591,RT @Sabrina_Fogel: PLEASE PICK UP Shadowhunters !!! AMAZING GROUNDBREAKING SHOW WITH A HUGE FANBASE! WE HAVE TRENDED AS # 1 ON TWITTER WITH…
@CBS,Wed Jun 06 18:04:59 +0000 2018,0.9147,0.409,0.0,0.591,RT @Sabrina_Fogel: PLEASE PICK UP Shadowhunters !!! AMAZING GROUNDBREAKING SHOW WITH A HUGE FANBASE! WE HAVE TRENDED AS # 1 ON TWITTER WITH…
@CBS,Wed Jun 06 18:04:47 +0000 2018,0.0,0.0,0.0,1.0,"RT @OfficialBPeters: Presenting at @TheTonyAwards on @CBS June 10, 2018. ❤️ https://t.co/qMFCX7iEIV"
@CBS,Wed Jun 06 18:04:43 +0000 2018,0.9147,0.409,0.0,0.591,RT @Sabrina_Fogel: PLEASE PICK UP Shadowhunters !!! AMAZING GROUNDBREAKING SHOW WITH A HUGE FANBASE! WE HAVE TRENDED AS # 1 ON TWITTER WITH…
@CBS,Wed Jun 06 18:04:29 +0000 2018,0.7351,0.267,0.0,0.733,"RT @TheTonyAwards: Special Tony Award recipient, @springsteen will make a rare television appearance as he performs at the 2018 #TonyAwards…"
@CBS,Wed Jun 06 18:04:10 +0000 2018,0.3802,0.178,0.0,0.822,"RT @GothamColombia: . @FOXTV #GiveGotham22Episodes in season 5, please! #GiveGotham22 #GothamDeservesBetter @warnerbrostv #Gotham deserves…"
